"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FAM98A",1013.04526873373,-0.0937456569612538,0.115852086544891,-0.809184018666153,0.418409306020452,0.998325140767596
"GGH",794.207997537396,0.107459257840654,0.379933066002026,0.282837340196341,0.777301529176127,0.999690621664146
"PRELID2",52.499738770622,0.845061353598765,0.229811013104032,3.67720128894004,0.000235806961627122,0.0377833494615138
"SLC35F6",827.844295849061,-0.483238174386784,0.314413455124774,-1.53695131843201,0.124305231093264,0.82576397919045
"SLC41A1",883.044251415952,-0.0584904748328178,0.126019878456206,-0.464136892919988,0.6425496710818,0.999690621664146
"ZFYVE19",315.905481669276,-0.0584062812894087,0.150594919692113,-0.387836996153779,0.698136665298396,0.999690621664146
"RPL12",6401.28286400854,-0.360011670378323,0.128194382611633,-2.80832641059619,0.00497997224534361,0.221259272156499
"AKR7A3",15.8096449192478,-0.400639331915447,0.467276257296283,-0.8573928712612,0.391227797716706,0.992941558344627
"APOBEC3H",1.52293117261483,-0.51621277705554,1.30898842546693,-0.394360077608325,0.693315213947684,0.999690621664146
"PLEKHA6",586.84244508019,-0.189664025004381,0.387661394953904,-0.489251773514703,0.624663459428966,0.999690621664146
"GRIA4",10.9968547201829,0.556849931123205,1.0455044606767,0.532613634917238,0.594301061651374,0.999690621664146
"DNAH5",53.9725531983068,-0.182692153107225,0.36672545699267,-0.498171451214188,0.618363202746131,0.999690621664146
"SRP68",2123.55863523784,0.317302441213762,0.184084664428695,1.72367666909413,0.0847662291333463,0.737661797219709
"OR52I2",0.0525838457347533,-0.247623672182075,3.30920503854024,-0.0748287486868167,0.940350967790719,NA
"PRODH2",2.5713272275205,-1.13590641926084,1.22351841318009,-0.928393399743339,0.35320354098585,0.983909931662714
"SBSPON",99.1068170447684,2.30467823846861,0.742860602478082,3.10243702624762,0.00191934378941914,0.137293060436888
"ASPH",6109.61462606048,-0.426596501630553,0.390446302401398,-1.09258686535592,0.274575232207617,0.95940367985702
"C19orf55",302.398843313028,0.394320163448732,0.300111086751761,1.31391401669508,0.188875141207106,0.894362828496652
"RBM7",487.003505311842,-0.146563862785781,0.135539321665051,-1.08133832297003,0.279546646264612,0.961709366886229
"GPR87",10.804189419993,-0.593556079733936,0.996650109826125,-0.595551110547198,0.551475145297943,0.999690621664146
"DLEC1",160.068046962604,-0.558821867230575,0.213461165778253,-2.61790881349861,0.00884704431759866,0.303546447753497
"SCOC",672.228026263662,-0.151008014536958,0.285245180741412,-0.529397250970048,0.59652990478875,0.999690621664146
"KIAA0195",1143.69000506325,0.168398154182861,0.24348901884869,0.69160471786002,0.489185598076002,0.999690621664146
"INHBE",18.8571672353262,-0.229328882475273,0.685472291722507,-0.334556021074167,0.737960024933933,0.999690621664146
"NXPH3",4.23986807728138,1.02598252636212,0.664727464827176,1.54346342019864,0.122718376271091,0.82272658702581
"TMEM88",10.9332469741643,-0.829604155513236,0.468463473304706,-1.77090467621929,0.0765765546141917,0.713465233320028
"CUL4B",839.478462598929,-0.0311533230507588,0.294222510311516,-0.105883547175824,0.915674748129702,0.999690621664146
"SRSF5",2401.79186440516,-0.122573679720304,0.154333315961833,-0.79421399687036,0.427070861439983,0.999690621664146
"FLVCR1",534.667397113492,-0.0942757970601012,0.112433584826079,-0.838502100648437,0.401748768419959,0.99705559223469
"FNTA",300.928692198158,-0.383602294778803,0.339590209232403,-1.12960351726831,0.258643328272402,0.946231343219747
"DKKL1",10.9171240470198,0.592274991175363,0.448968804201004,1.31918963106889,0.187105723900965,0.893893359340375
"C12orf44",634.346937475392,0.288947357075525,0.145178234268034,1.99029392065796,0.0465585673134731,0.595440960274784
"LGR4",2287.27959818985,-0.315387472134619,0.389273699033558,-0.810194659741015,0.417828306253489,0.998325140767596
"PLD4",1.48743471400849,-0.250941935375535,0.709383990634813,-0.353746262515697,0.723529048927678,0.999690621664146
"TTL",762.602991485396,0.0913741542526925,0.239650782733868,0.381280433179988,0.702995171123639,0.999690621664146
"ETS1",764.010371759813,0.156943577634782,0.603242998529541,0.260166430472209,0.794735397444118,0.999690621664146
"CYP39A1",32.1756354733413,-0.00729591700909166,0.485788505135734,-0.0150187106775059,0.988017253103681,0.999690621664146
"ATP1A2",0.884973602814563,0.347110980928964,1.02594573629012,0.338332690171448,0.735112491527635,NA
"C1orf134",16.5738359379786,-0.447429407875065,0.342275178733576,-1.30722131102396,0.191137559796516,0.898385779002516
"PI16",2.14115404679013,0.916196245143998,1.332066424833,0.687800719291352,0.491578283107847,0.999690621664146
"THRAP3",3176.93698942882,0.0664557528093536,0.207075003685784,0.320926000852298,0.748266469466113,0.999690621664146
"CWC22",486.224151128718,0.0300195497171755,0.0792422024555534,0.378832854046596,0.704811988606878,0.999690621664146
"NACAD",36.8380085625723,1.1210953171052,0.733816126099076,1.52776053459724,0.126572004184125,0.828036531759958
"GPR124",117.021483441194,0.0533184349475624,0.240793497050985,0.221428051839261,0.824759152262353,0.999690621664146
"LIN7B",60.2184095464803,-0.0544619136872336,0.336082207012257,-0.162049381225491,0.871266967144186,0.999690621664146
"SMARCA4",4968.84685465065,0.281316988883373,0.217053823327294,1.2960701846711,0.19495130587597,0.90030383707996
"CBX6",1572.17603023443,-0.0481590713249148,0.2315972344512,-0.207943205535395,0.835273313305039,0.999690621664146
"TOMM70A",1402.35612142445,-0.105961119957024,0.194042556507153,-0.546071551851144,0.585016753940613,0.999690621664146
"GPR141",6.35938599019848,-0.0826401691946645,1.26333008058533,-0.0654145503733873,0.947843939370037,0.999690621664146
"CCDC93",865.332289894308,-0.0136420914257695,0.200413980945219,-0.0680695596256751,0.945730262034629,0.999690621664146
"CCDC68",52.2614400565721,-0.15527030198566,0.41971394089774,-0.369943160938489,0.711424841437891,0.999690621664146
"RPS6KA5",72.5270924882067,0.614907584415806,0.316639129460906,1.94198229846929,0.0521392432698923,0.62067391895504
"HRH2",2.27747888943849,0.598287141493351,1.02968495988496,0.581039021450012,0.561214154617007,0.999690621664146
"ZBTB43",217.584051503325,0.0575416232669671,0.163253019192962,0.352468968423512,0.724486586751156,0.999690621664146
"MAP1S",706.721296827659,0.233752889157232,0.174431275206484,1.34008588127631,0.18021742566423,0.889915829380847
"KHDC3L",0.131355357832001,0.484811199330702,3.30920503854024,0.146503826050187,0.883523669757261,NA
"CEP152",262.329229971312,0.57653698803529,0.303785859017457,1.89784010980629,0.0577171477185529,0.645811353278194
"F2R",317.562336725164,0.23102042434633,0.666194793913418,0.346776087800461,0.728759542867581,0.999690621664146
"NENF",254.120355069929,0.052970071406307,0.144449950451305,0.366701900837022,0.713841388530418,0.999690621664146
"AC120194.1",816.581754542485,-0.245226862051076,0.236368485644101,-1.03747697745254,0.299513619791766,0.968372594692148
"SLC35A3",455.09920397175,-0.192064280856785,0.228913605941217,-0.839025186236004,0.401455176282319,0.99705559223469
"TMEM257",0.0550027306711494,0.151885220429303,3.30920503854024,0.0458977968002559,0.96339171022707,NA
"PXMP4",84.7116914204186,0.264309390011362,0.473886094058702,0.557748778293168,0.577015944086533,0.999690621664146
"KIAA0319",24.1281541504556,1.90070168347994,0.538333558591825,3.53071372413007,0.00041444003993325,0.0555089881927331
"CRYBB3",6.82745725935842,-0.484094862200144,0.625681074884861,-0.773708653868471,0.439103101295102,0.999690621664146
"MKNK2",3500.12263208598,-0.586910167758064,0.43647545430746,-1.34465789992542,0.178735736114358,0.88784368377952
"CEACAM3",0.721943153289607,-2.0833679143383,1.35250726902998,-1.54037465235398,0.123469056353589,NA
"WBSCR17",48.2529077859428,1.62211757252137,1.38905254693336,1.16778704743932,0.242892674047108,0.934804681695772
"FANCB",78.9640818276326,0.369653518984325,0.296758581062428,1.24563716965125,0.212897629857823,0.921712705542258
"POM121C",1272.33724398839,0.324308033854779,0.202519020500743,1.60137074064897,0.109294829316675,0.794849630655233
"CEP97",250.089531679825,0.605098137894531,0.168398683384398,3.59324743954972,0.000326582188146569,0.048452096302523
"TPMT",487.783432457097,-0.145067542128809,0.206700258059948,-0.701825645939617,0.482787903033438,0.999690621664146
"PPIP5K1",460.85685322985,-0.159433487212617,0.159031468480296,-1.00252791938704,0.316088689174064,0.971845126848414
"DCLK3",0.355518115932739,0.590395108205464,2.21674983286641,0.266333665374429,0.789982247882065,NA
"PLEKHO2",136.538464884941,-0.184122012838794,0.383317449068756,-0.480338198237795,0.63098693160599,0.999690621664146
"GCH1",149.667456772416,0.216792845733366,0.356285840923827,0.608480104545373,0.542869097427445,0.999690621664146
"AMOT",313.425440919855,0.60458729392697,0.447722513781473,1.35036160862364,0.176900019196214,0.88784368377952
"FBXL16",67.2610990471196,1.24833604014794,0.506746219287653,2.46343434372882,0.0137613096658906,0.363494907772032
"VILL",45.9616121663631,-0.323989532014965,0.594688881186844,-0.544805094334983,0.585887574590565,0.999690621664146
"XCL1",5.1309588733077,-0.645889695030462,1.38868724369454,-0.465108106928455,0.641854040722083,0.999690621664146
"LRRC53",0.0499408993441481,-0.247623672182075,3.30920503854024,-0.0748287486868167,0.940350967790719,NA
"NAT6",55.254261275195,-0.0843711139997291,0.274098071967645,-0.307813598957706,0.758224173215216,0.999690621664146
"BRAF",362.013587062269,0.125238324113939,0.0973205300515374,1.28686438562981,0.198141560545991,0.903992660771189
"CEP70",334.004329846868,0.173037796799476,0.179140486529528,0.965933498070261,0.334077458942562,0.977629781968375
"HYAL1",24.7727648996351,0.196392434062452,0.452564869581463,0.433954217975599,0.664321686974719,0.999690621664146
"STARD9",77.9960551799589,0.539050038740406,0.465898881936245,1.15701080135705,0.247267947370572,0.936897519959237
"PRNP",1085.74013540105,-0.157252183920282,0.20560643656331,-0.764821308849739,0.444377957160724,0.999690621664146
"HDHD3",259.367480368527,-0.218727804121545,0.295323803135384,-0.740637232080051,0.458913426737513,0.999690621664146
"TMEM63B",720.823919229509,-0.219608756824718,0.2116693812351,-1.03750838001836,0.299498992300496,0.968372594692148
"TDRD12",3.82618195662373,0.393605435746523,0.571927567358131,0.688208539351721,0.491321467202312,0.999690621664146
"ACBD4",143.015836709342,-0.356944456960688,0.248239761272706,-1.4379020312083,0.150461853310853,0.858259265076465
"NTRK2",26.2187807895039,-0.0721767217478664,1.0264760879102,-0.0703150541916769,0.94394290065237,0.999690621664146
"SNX6",771.428443948133,-0.127715301057318,0.117008472330347,-1.09150473050142,0.275050851501036,0.959853648278775
"ACP1",1160.90153794278,0.0292076037271974,0.106681297903006,0.273783730619332,0.784250827167185,0.999690621664146
"XPO4",607.596612183729,0.00325295197275269,0.245760038655126,0.0132362933801355,0.989439274242879,0.999690621664146
"ATP6V0A1",977.586903651084,-0.412390838003195,0.240364340099647,-1.71569059633485,0.0862186868082084,0.743411023024582
"DCX",1.24004247249039,-1.63158134699868,1.40424435051729,-1.16189276203792,0.245279027544704,NA
"HTRA4",0.402224008904707,-0.436875230929155,1.25445319080681,-0.348259491968908,0.727645312603969,NA
"YIPF3",1013.25531403829,-0.108448395130278,0.206579823476377,-0.524970896505193,0.599603422867408,0.999690621664146
"DNAJB1",3123.39504423878,0.282613511217006,0.188479364806994,1.49944006605926,0.133759506053366,0.839734423478674
"SERBP1",8398.97002577604,0.0689296109941186,0.127286430222475,0.541531496119744,0.588141294593679,0.999690621664146
"FCGR1A",6.55588924612171,0.106622837558054,0.724511339538834,0.147165174289641,0.883001648148707,0.999690621664146
"OGFRL1",326.322082931485,0.36453234831782,0.450937290880196,0.808388118902919,0.418867189361603,0.998325140767596
"HRCT1",15.9082434783332,0.817837120613787,0.884502786397739,0.924629219026594,0.355158808838383,0.98472220003762
"UNC13C",2.81997098633251,-0.717775314217367,0.802153167995871,-0.894810795313174,0.370888238550937,0.988444714641557
"FIS1",488.790892337053,0.202552975745784,0.142514558730591,1.42127918403543,0.15523561255466,0.865161815639413
"LLGL2",1955.99363892289,-0.0663369260876366,0.329145233869091,-0.201543024967575,0.840273990509767,0.999690621664146
"GPT2",1177.98933671126,-0.0825944989899472,0.254633600450601,-0.324366064980378,0.745660908256857,0.999690621664146
"C9orf57",0.0504463215611044,0.151885220429303,3.30920503854024,0.0458977968002559,0.96339171022707,NA
"AIF1L",1147.4270856852,0.426410947631581,0.344865295488775,1.23645653305657,0.2162889133088,0.923374381156535
"SLC38A8",2.12324194431988,-0.586738202135392,1.13469378543045,-0.517089464725331,0.605093707624709,0.999690621664146
"AC010327.2",367.880102456681,0.123197364733519,0.121793704285781,1.01152490152072,0.311765268974584,0.971845126848414
"PTPN5",3.37949372643869,-1.3204367607468,1.21344168705443,-1.08817487880451,0.276517912533275,0.960792937877254
"SSBP4",984.805793482281,0.0393206483237697,0.304484594139955,0.129138383617846,0.897248150544076,0.999690621664146
"AARS",2981.65832096514,-0.0527832472201708,0.211902768935176,-0.249091823978562,0.803289753696884,0.999690621664146
"AMT",160.359862892292,-0.271444747537809,0.52329431985592,-0.518722900742639,0.603953989536069,0.999690621664146
"ATP13A5",1.13261110038464,-0.785127737224715,1.57894605259629,-0.497247981293417,0.619014189547757,NA
"TIRAP",73.4757172888518,-0.155251954586385,0.215193557397741,-0.721452614398832,0.470631085069736,0.999690621664146
"PCDHGA5",3.1942071550823,-0.747651315847075,0.762247423682112,-0.980851220507209,0.326666115313557,0.976103898802587
"PIGL",115.111160926577,0.214342212055387,0.208593551604888,1.02755914747253,0.304157249331845,0.970582681240888
"RPTOR",769.27348047815,0.0471723613377748,0.107123480588867,0.440355009737026,0.659680004588638,0.999690621664146
"PCDH11X",8.34859335273168,2.88247822941254,1.25357762457274,2.29940146737621,0.0214821527046905,0.443959505958364
