"GO Term ID","GO Term Description","Adjusted p-value","Genes"
"GO:0015718","monocarboxylic acid transport",0.0308577836009927,"SLC6A13, IL1A"
"GO:0046942","carboxylic acid transport",0.0308577836009927,"SLC6A13, IL1A"
"GO:0015849","organic acid transport",0.0308577836009927,"SLC6A13, IL1A"
"GO:0002246","wound healing involved in inflammatory response",0.0308577836009927,"IL1A"
"GO:0051933","amino acid neurotransmitter reuptake",0.0308577836009927,"SLC6A13"
"GO:0001660","fever generation",0.0308577836009927,"IL1A"
"GO:0015711","organic anion transport",0.0308577836009927,"SLC6A13, IL1A"
"GO:0033083","regulation of immature T cell proliferation",0.0308577836009927,"IL1A"
"GO:0033084","regulation of immature T cell proliferation in thymus",0.0308577836009927,"IL1A"
"GO:0032308","positive regulation of prostaglandin secretion",0.0308577836009927,"IL1A"
"GO:0033079","immature T cell proliferation",0.0308577836009927,"IL1A"
"GO:0033080","immature T cell proliferation in thymus",0.0308577836009927,"IL1A"
"GO:0032306","regulation of prostaglandin secretion",0.0308577836009927,"IL1A"
"GO:0060009","Sertoli cell development",0.0308577836009927,"IL1A"
"GO:0031649","heat generation",0.0308577836009927,"IL1A"
"GO:0035234","ectopic germ cell programmed cell death",0.0308577836009927,"IL1A"
"GO:0032310","prostaglandin secretion",0.0308577836009927,"IL1A"
"GO:0032305","positive regulation of icosanoid secretion",0.0308577836009927,"IL1A"
"GO:0015812","gamma-aminobutyric acid transport",0.0308577836009927,"SLC6A13"
"GO:0006883","intracellular sodium ion homeostasis",0.0308577836009927,"IL1A"
"GO:0032303","regulation of icosanoid secretion",0.0308577836009927,"IL1A"
"GO:0032874","positive regulation of stress-activated MAPK cascade",0.0308577836009927,"IL1A"
"GO:0070304","positive regulation of stress-activated protein kinase signaling cascade",0.0308577836009927,"IL1A"
"GO:0097709","connective tissue replacement",0.0308577836009927,"IL1A"
"GO:0060008","Sertoli cell differentiation",0.0308577836009927,"IL1A"
"GO:2000193","positive regulation of fatty acid transport",0.0308577836009927,"IL1A"
"GO:0010623","programmed cell death involved in cell development",0.0308577836009927,"IL1A"
"GO:0050999","regulation of nitric-oxide synthase activity",0.0308577836009927,"IL1A"
"GO:0010893","positive regulation of steroid biosynthetic process",0.0318131630175093,"IL1A"
"GO:0090594","inflammatory response to wounding",0.0318131630175093,"IL1A"
"GO:0015732","prostaglandin transport",0.0318131630175093,"IL1A"
"GO:0010575","positive regulation of vascular endothelial growth factor production",0.0318131630175093,"IL1A"
"GO:0045940","positive regulation of steroid metabolic process",0.0318131630175093,"IL1A"
"GO:2000191","regulation of fatty acid transport",0.0318131630175093,"IL1A"
"GO:0032743","positive regulation of interleukin-2 production",0.0318131630175093,"IL1A"
"GO:0098810","neurotransmitter reuptake",0.0318131630175093,"SLC6A13"
"GO:1902624","positive regulation of neutrophil migration",0.0318131630175093,"IL1A"
"GO:1901099","negative regulation of signal transduction in absence of ligand",0.0318131630175093,"IL1A"
"GO:2001240","negative regulation of extrinsic apoptotic signaling pathway in absence of ligand",0.0318131630175093,"IL1A"
"GO:0046688","response to copper ion",0.0318131630175093,"IL1A"
"GO:0032768","regulation of monooxygenase activity",0.0318131630175093,"IL1A"
"GO:0032872","regulation of stress-activated MAPK cascade",0.0318131630175093,"IL1A"
"GO:0072337","modified amino acid transport",0.0318131630175093,"SLC6A13"
"GO:0070302","regulation of stress-activated protein kinase signaling cascade",0.0318131630175093,"IL1A"
"GO:2001239","regulation of extrinsic apoptotic signaling pathway in absence of ligand",0.0318131630175093,"IL1A"
"GO:0001504","neurotransmitter uptake",0.0318131630175093,"SLC6A13"
"GO:0032309","icosanoid secretion",0.0318131630175093,"IL1A"
"GO:0032892","positive regulation of organic acid transport",0.0318131630175093,"IL1A"
"GO:0045840","positive regulation of mitotic nuclear division",0.0318131630175093,"IL1A"
"GO:0055078","sodium ion homeostasis",0.0318131630175093,"IL1A"
"GO:1902622","regulation of neutrophil migration",0.0318131630175093,"IL1A"
"GO:0006953","acute-phase response",0.0318635505894202,"IL1A"
"GO:0089718","amino acid import across plasma membrane",0.0326610119979715,"SLC6A13"
