Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSG00000106927,AMBP,Gene Expression,0.6429133396616771,0.0,0.0,28684,12.240174703860083,1249
ENSG00000153002,CPB1,Gene Expression,0.6281803828770525,0.0,0.0,760220,338.03060931123616,1646
ENSG00000251493,FOXD1,Gene Expression,0.5956285716364097,0.0,0.0,4002,1.791016139240661,520
ENSG00000211897,IGHG3,Gene Expression,0.5914613520638377,0.0,0.0,2373,3.3505590284148603,225
ENSG00000170345,FOS,Gene Expression,0.5848813384787417,0.0,0.0,14052,17.609623646902772,1552
ENSG00000160862,AZGP1,Gene Expression,0.5843700415283434,0.0,0.0,4586,1.8291342714844165,480
ENSG00000087086,FTL,Gene Expression,0.5802511874053712,0.0,0.0,92615,104.67796812131594,1642
ENSG00000211895,IGHA1,Gene Expression,0.5694128645012153,0.0,0.0,18808,28.605028452594063,962
ENSG00000204740,MALRD1,Gene Expression,0.5656535050130703,0.0,0.0,7903,3.468099171028994,1015
ENSG00000138653,NDST4,Gene Expression,0.5608451077317279,0.0,0.0,6828,2.8324475000107547,961
ENSG00000019582,CD74,Gene Expression,0.5577937964953176,0.0,0.0,76613,88.68639830616429,1630
ENSG00000115884,SDC1,Gene Expression,0.5556700214257357,0.0,0.0,16494,7.841491106399024,1279
ENSG00000137860,SLC28A2,Gene Expression,0.5545888031945246,0.0,0.0,6273,2.6744356866789603,985
ENSG00000189377,CXCL17,Gene Expression,0.5533631961374115,0.0,0.0,17628,7.634917256821707,1182
ENSG00000233041,PHGR1,Gene Expression,0.5518883489475895,0.0,0.0,18268,8.122571517784113,1278
ENSG00000160180,TFF3,Gene Expression,0.5485647926798609,0.0,0.0,97790,44.83861495592273,1548
ENSG00000126709,IFI6,Gene Expression,0.5465867482630701,0.0,0.0,143725,73.11389106228624,1634
ENSG00000145808,ADAMTS19,Gene Expression,0.5449677391332581,0.0,0.0,7135,2.960164089224167,1009
ENSG00000167711,SERPINF2,Gene Expression,0.5431715963366578,0.0,0.0,9319,3.952311145244595,1086
ENSG00000141232,TOB1,Gene Expression,0.5431487018281558,0.0,0.0,130514,58.44660226896986,1575
ENSG00000143333,RGS16,Gene Expression,0.542422276061586,0.0,0.0,57525,25.88346943470329,1492
ENSG00000167107,ACSF2,Gene Expression,0.5416610722615486,0.0,0.0,45421,19.970252932030366,1452
ENSG00000107485,GATA3,Gene Expression,0.5393064914743002,0.0,0.0,102715,48.86583307931003,1564
ENSG00000109072,VTN,Gene Expression,0.5359311861334872,0.0,0.0,6712,2.931835044168434,994
ENSG00000075673,ATP12A,Gene Expression,0.5348916342420418,0.0,0.0,1244,0.4707738933093615,297
ENSG00000171302,CANT1,Gene Expression,0.53040135695124,0.0,0.0,301232,132.3324564601673,1631
ENSG00000176049,JAKMIP2,Gene Expression,0.5292973505085141,0.0,0.0,15007,6.888761442142712,1240
ENSG00000089356,FXYD3,Gene Expression,0.5290142471745123,0.0,0.0,77486,33.37633839559556,1507
ENSG00000164292,RHOBTB3,Gene Expression,0.526685459761194,0.0,0.0,53957,24.562592320340194,1503
ENSG00000130203,APOE,Gene Expression,0.5265548608768922,0.0,0.0,113565,128.55035016268724,1640
ENSG00000189058,APOD,Gene Expression,0.5265305189497899,0.0,0.0,27621,12.704844891481809,1405
ENSG00000144218,AFF3,Gene Expression,0.5263927829583542,0.0,0.0,52909,22.798228987829813,1475
ENSG00000138434,ITPRID2,Gene Expression,0.5259828547216558,0.0,0.0,22746,10.028943352930693,1349
ENSG00000141738,GRB7,Gene Expression,0.5259743183329814,0.0,0.0,63771,28.84073710304201,1502
ENSG00000139219,COL2A1,Gene Expression,0.5241559716887001,0.0,0.0,48210,20.522248716757897,1447
ENSG00000148513,ANKRD30A,Gene Expression,0.5226500971120378,0.0,0.0,27532,11.001149604486635,1336
ENSG00000187608,ISG15,Gene Expression,0.5226038354750719,0.0,0.0,83871,41.72844748852998,1590
ENSG00000076554,TPD52,Gene Expression,0.5214978093295526,0.0,0.0,51579,22.325611354854445,1464
ENSG00000168542,COL3A1,Gene Expression,0.5210992068342126,0.0,0.0,96477,101.61404072837172,1643
ENSG00000003436,TFPI,Gene Expression,0.5198643636293728,0.0,0.0,14369,6.536718724670994,1235
ENSG00000135346,CGA,Gene Expression,0.5196415883081855,0.0,0.0,10284,4.626619235207483,1100
ENSG00000167900,TK1,Gene Expression,0.5178396573462112,0.0,0.0,23723,9.922002812408953,1334
ENSG00000143320,CRABP2,Gene Expression,0.517679603263311,0.0,0.0,31255,13.663075691638905,1416
ENSG00000115648,MLPH,Gene Expression,0.5158133873965869,0.0,0.0,80391,35.751464213465816,1528
