"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa04380","Osteoclast differentiation",73,0.672079889498552,3.23516574387758,1e-10,6.02e-09,3.66315789473684e-09,1049,"tags=67%, list=17%, signal=56%","8651/5293/489/7048/1436/1535/3937/2534/4689/6688/10288/2353/7305/10859/54/1435/4688/9021/4792/2274/2355/3708/11006/3709/10990/3710/4773/6300/140885/7040/6773/2214/7132/3726/1513/54209/5600/2212/5971/5468/5336/4791/3716/6772/3455/3460/7297/23118/6850"
"hsa04062","Chemokine signaling pathway",79,0.645394342471652,3.14023703781109,1e-10,6.02e-09,3.66315789473684e-09,983,"tags=53%, list=16%, signal=45%","6366/1236/6363/6352/7852/10235/5293/2833/6358/3718/1794/5579/7454/5880/6387/5330/23533/7409/113/58191/2268/2185/57580/4792/6376/409/54331/3055/59345/6777/4067/109/6773/5294/5335/9844/7074/5336/2791/6772/6774/196883"
"hsa05171","Coronavirus disease - COVID-19",60,0.661850317427747,3.04980527807375,1e-10,6.02e-09,3.66315789473684e-09,1049,"tags=67%, list=17%, signal=56%","5293/5579/715/718/712/714/7450/713/716/1675/4600/2353/1536/4939/64135/4792/7097/719/717/4938/629/6300/6773/8829/7132/5600/2212/5335/5336/4940/9641/3716/4615/6772/3455/4599/6774/7297/23118/6850"
"hsa04060","Cytokine-cytokine receptor interaction",64,0.653189999840686,3.04088067871128,1e-10,6.02e-09,3.66315789473684e-09,959,"tags=61%, list=16%, signal=52%","6366/3575/4050/1236/3561/6363/9235/6352/7852/3587/2833/1438/6358/3560/7133/7048/1436/6387/920/1439/3603/58191/10673/8742/1435/8741/6376/3601/9180/27242/8764/7040/7132/84957/958/3455/94/3590/3460"
"hsa04061","Viral protein interaction with cytokine and cytokine receptor",20,0.83296955965494,2.8743873124877,1e-10,6.02e-09,3.66315789473684e-09,431,"tags=75%, list=7%, signal=70%","6366/1236/3561/6363/6352/7852/3587/2833/6358/3560/7133/1436/6387/1435/6376"
"hsa04064","NF-kappa B signaling pathway",50,0.628673482056894,2.72181957558251,4.88906084350178e-10,2.45267885649006e-08,1.49245015222686e-08,1049,"tags=54%, list=17%, signal=45%","6366/4050/6363/7535/84433/929/5579/7128/7185/3383/6387/10673/4616/4792/8837/4067/1647/7132/5335/5971/5336/472/4791/958/4615/23118/6850"
"hsa04148","Efferocytosis",78,0.541986102982872,2.63436096453149,1.05029121525012e-09,4.51625222557551e-08,2.7481303977973e-08,850,"tags=47%, list=14%, signal=41%","489/29933/712/714/1844/5734/713/5175/23166/2621/1051/6446/1901/558/1847/6376/3988/84868/10461/4035/4240/961/19/4773/6300/140885/3693/948/5777/7040/8877/10062/5600/10396/9844/5468/89790"
"hsa04611","Platelet activation",63,0.581479725667026,2.69538662184647,1.2365788220321e-09,4.65262781789577e-08,2.83111467149454e-08,1049,"tags=52%, list=17%, signal=44%","10235/5293/7450/5330/3937/23533/2534/113/54518/2207/1281/1277/3708/1278/83706/3709/4638/3710/6300/9138/4067/109/8605/5294/5600/2212/5336/5592/60/2982/196883/5742/6850"
"hsa05140","Leishmaniasis",34,0.696397794819414,2.75620531868522,1.51026843424523e-09,5.05100887453127e-08,3.07352874337626e-08,1218,"tags=74%, list=20%, signal=59%","5579/718/3689/1535/3676/4689/2353/1536/4688/4792/3684/7097/6300/5777/7040/2214/5600/2212/3716/4615/6772/3460/23118/3725/7043"
"hsa04670","Leukocyte transendothelial migration",58,0.601818798108608,2.73442750404098,1.82121193303506e-09,5.48184791843553e-08,3.33569343524316e-08,988,"tags=50%, list=16%, signal=42%","7852/5293/4313/5579/7122/3383/3689/5880/1535/6387/3676/3683/7409/5175/4689/1536/4688/2185/3684/4478/1003/10398/6300/5600/5335/5336/7070/60/24146"
